Kansai-ben,Standard Japanese
まっさら,X
まったけ,松茸
まどう,弁償する
真似衆,X
みーいる,筋肉痛になる
みかん水,オレンジジュース
水臭い,X
ミスド,ミスタードーナッツ
みずや,食器棚
むちゃ,X
ムッチャ,X
むつかしい,難しい
むなくそ悪い,不愉快
めぐる,壊れる
めっちゃ,超・すごく・大変
めばちこ,物もらい
めめつぶ,X
メンチ,睨みつける
めんどい,めんどくさい
もうた,もらった
モータープール,駐車場
もみない・もむない・ももない,うまくない
もんび,祝日
やっちゃ,奴
やまこはる,X
ややこ,赤ちゃん
ややこしい,面倒
やらしい,いやらしい
ヤラシー,エッチ！
ヤンキー,不良
,
ヤンピー！,やめて！
ゆう,言う
ゆうれん,幽霊
ゆがく,茹でる
ゆってる,揺れている
ようおこし,いらっしゃいませ
ようけ,いっぱい・沢山
ようさん,仰山・沢山
ようて,酔って
冷コー,アイスコーヒー
ロオジ,路地
わい,私
我が,自分自身
わけわけ,分ける
わや,ダメだった・失敗した
笑かす,笑わす
,
あかん,だめ
あかんたれ,X
あて,私
アホ,バカ
アホか！,冗談でしょう！
アホくさ,バカみたい
あんさん,あなた
いける,大丈夫・決まってる
いちびり,X
いてこます,X
いぬ,去る
,
なんでやねん,X
〜ねん,〜なの・〜なのだ・〜だよ・〜のよ・〜の・〜んだよ
〜やねん,〜なの・〜なのだ・〜だよ
〜ってん,〜った
〜へん,〜ない
〜ん,〜ない
〜とる,〜てる
〜なあかん,〜ないとダメ・〜なければならない
〜や,〜だ
〜くない,〜ない
〜ん,〜の
何してるん,何してるの
何してんねん,何してるの
〜わ,〜よ
〜うた,〜った
〜お,〜おう
〜ろ,〜ろう
〜よ,〜よう
〜こ,〜こう
〜ご,〜ごう
〜ぼ,〜ぼう
〜も,〜もう
〜そ,〜そう
〜と,〜とう
〜なぁ・〜な・〜なあ,ね
〜やん,〜でしょう・〜だろう・〜じゃん
〜やろう,〜だろう
て,た・って
へんかった,なかった
言うてる,言ってる
おもろかっ,面白かった
ほんまに,本当に
んやん,なんだ
おらん,いない
ってん,った
あらん,ない・無い
なあ,ね
せえへん,しない
な,ね
なぁ,ね
